abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Pressure', 'Snow Cloak']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,85,20480,35,580,3,Freeze Pokémon,100,1250000,1.7,90,Freezerフリーザー,Articuno,,144,95,125,85,ice,flying,55.4,1,1
"['Pressure', 'Static']",0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,90,20480,35,580,3,Electric Pokémon,85,1250000,1.6,90,Thunderサンダー,Zapdos,,145,125,90,100,electric,flying,52.6,1,1
"['Pressure', 'Flame Body']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,100,20480,35,580,3,Flame Pokémon,90,1250000,2.0,90,Fireファイヤー,Moltres,,146,125,85,90,fire,flying,60.0,1,1
"['Pressure', 'Unnerve']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,150,30720,0,780,3,Genetic Pokémon,70,1250000,2.0,106,Mewtwoミュウツー,Mewtwo,,150,194,120,140,psychic,,122.0,1,1
['Synchronize'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,100,30720,100,600,45,New Species Pokémon,100,1059860,0.4,100,Mewミュウ,Mew,,151,100,100,100,psychic,,4.0,1,1
"['Pressure', 'Inner Focus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,20480,35,580,3,Thunder Pokémon,75,1250000,1.9,90,Raikouライコウ,Raikou,,243,115,100,115,electric,,178.0,2,1
"['Pressure', 'Inner Focus']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,115,20480,35,580,3,Volcano Pokémon,85,1250000,2.1,115,Enteiエンテイ,Entei,,244,90,75,100,fire,,198.0,2,1
"['Pressure', 'Inner Focus']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,75,20480,35,580,3,Aurora Pokémon,115,1250000,2.0,100,Suicuneスイクン,Suicune,,245,90,115,85,water,,187.0,2,1
"['Pressure', 'Multiscale']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,90,30720,0,680,3,Diving Pokémon,130,1250000,5.2,106,Lugiaルギア,Lugia,,249,90,154,110,psychic,flying,216.0,2,1
"['Pressure', 'Regenerator']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,130,30720,0,680,3,Rainbow Pokémon,90,1250000,3.8,106,Hououホウオウ,Ho-Oh,,250,110,154,90,fire,flying,199.0,2,1
['Natural Cure'],4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,100,30720,100,600,45,Time Travel Pokémon,100,1059860,0.6,100,Celebiセレビィ,Celebi,,251,100,100,100,psychic,grass,5.0,2,1
"['Clear Body', 'Sturdy']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,100,20480,35,580,3,Rock Peak Pokémon,200,1250000,1.7,80,Regirockレジロック,Regirock,,377,50,100,50,rock,,230.0,3,1
"['Clear Body', 'Ice Body']",1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,50,20480,35,580,3,Iceberg Pokémon,100,1250000,1.8,80,Regiceレジアイス,Regice,,378,100,200,50,ice,,175.0,3,1
"['Clear Body', 'Light Metal']",0.5,1.0,0.5,1.0,0.5,2.0,2.0,0.5,1.0,0.5,2.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,75,20480,35,580,3,Iron Pokémon,150,1250000,1.9,80,Registeelレジスチル,Registeel,,379,75,150,50,steel,,205.0,3,1
['Levitate'],2.0,2.0,2.0,0.5,2.0,0.5,0.5,1.0,2.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,100,30720,90,700,3,Eon Pokémon,120,1250000,1.4,80,Latiasラティアス,Latias,0.0,380,140,150,110,dragon,psychic,40.0,3,1
['Levitate'],2.0,2.0,2.0,0.5,2.0,0.5,0.5,1.0,2.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,130,30720,90,700,3,Eon Pokémon,100,1250000,2.0,80,Latiosラティオス,Latios,100.0,381,160,120,110,dragon,psychic,60.0,3,1
